layer,s_baseline_mc_entropy,s_baseline_conf_signal,s_entropy_direction_mc_entropy_slope,s_entropy_direction_mc_entropy_r2,s_entropy_direction_conf_slope,s_entropy_direction_conf_r2,s_entropy_direction_mc_entropy_delta_pos2,s_entropy_direction_mc_entropy_delta_neg2,s_entropy_direction_conf_delta_pos2,s_entropy_direction_conf_delta_neg2,s_confidence_direction_mc_entropy_slope,s_confidence_direction_mc_entropy_r2,s_confidence_direction_conf_slope,s_confidence_direction_conf_r2,s_confidence_direction_mc_entropy_delta_pos2,s_confidence_direction_mc_entropy_delta_neg2,s_confidence_direction_conf_delta_pos2,s_confidence_direction_conf_delta_neg2,s_random_direction_mc_entropy_slope,s_random_direction_mc_entropy_r2,s_random_direction_conf_slope,s_random_direction_conf_r2,s_random_direction_mc_entropy_delta_pos2,s_random_direction_mc_entropy_delta_neg2,s_random_direction_conf_delta_pos2,s_random_direction_conf_delta_neg2,a_baseline_mc_entropy,a_baseline_conf_signal,a_entropy_direction_mc_entropy_delta,a_entropy_direction_conf_delta,a_confidence_direction_mc_entropy_delta,a_confidence_direction_conf_delta,a_random_direction_mc_entropy_delta,a_random_direction_conf_delta,rel_s_entropy_to_mc,rel_s_entropy_to_conf,rel_s_conf_to_mc,rel_s_conf_to_conf,rel_a_entropy_to_mc,rel_a_entropy_to_conf,rel_a_conf_to_mc,rel_a_conf_to_conf
0,0.3545877978898352,0.8937089454084635,0.0010086051766809696,0.011182025734640142,0.0036678795179254362,0.42304066781345184,0.0056883148191264055,-0.012102682485710836,0.005561960950493883,-0.004774737596511813,0.012959524096488104,0.3662100274128417,-0.004461994143431632,0.184273302265033,-0.010916532592382289,-0.0023700326035032138,0.003538593858480543,-0.002777006953954664,-0.010978614506846148,0.623085891914091,0.0017477302654967434,0.12257509543154299,-0.01406841701905559,0.008777779787875917,-0.005640655691425134,-0.006056762069463484,0.3545877978898352,0.8937089454084635,0.0001557287358446291,0.00025541947782037333,-4.0965445805341005e-05,-7.056340575228859e-05,-9.626693751974003e-05,5.579118927290239e-06,0.0028444441198575234,0.0041041096620657155,0.03654813891964332,-0.004992670338990855,0.0004391824444365442,0.00028579715927945157,-0.00011552976737814402,-7.895568922613622e-05
1,0.3545877978898352,0.8937089454084635,-0.009642320085396547,0.7649152616523103,0.005554324011269359,0.8547296970265702,-0.02105316782777661,-0.005351118939288413,0.008943304955959297,-0.009451609715819265,0.00020425428041019917,0.005424795780318718,-0.000241918620571741,0.03131689685933155,-0.006321342180017342,-0.010039140682201797,-0.0019855387657882195,0.003296245694160427,-0.0025518261540574917,0.6227444621244176,7.439287564562922e-05,0.005259413621888084,-0.011343064852796236,-0.003915026475442562,-0.0009436524113016764,-0.0010151064991952286,0.3545877978898352,0.8937089454084635,0.0011327005649218735,-0.0001983439624311245,-0.00012118467944671751,-1.5404701232846207e-05,0.00012369334600720316,-8.633856971917986e-06,-0.027193039757087926,0.006214913747708762,0.0005760330209491804,-0.00027069061109282486,0.0031944149563595124,-0.00022193350917000475,-0.0003417621253971285,-1.7236821128388275e-05
2,0.3545877978898352,0.8937089454084635,-0.004270190029780853,0.5930571081350513,0.0013488321170994613,0.7723600202600855,-0.002298301719129092,0.008724698941805387,0.005700244784355046,-0.0027860193252562393,0.00045671696793043103,0.012633468399245451,0.00022991926732817078,0.05270706969367017,-0.0008432391670066819,0.0034802626224700317,-0.0020154605954885163,-0.0039825053066014915,0.0024179842874812005,0.2968994826532916,0.0007861405953503464,0.40098405972111995,0.002064434480077204,-0.0008814232482108886,0.0017981142997740562,-0.003050975789626431,0.3545877978898352,0.8937089454084635,-0.0001316233165561953,6.60819411276714e-05,-0.00041506676643621176,0.00010302187502375659,5.539556111516797e-05,-1.0434264938075088e-05,-0.012042687467512725,0.0015092521161718785,0.001288022234967955,0.00025726414456228564,-0.0003712009193195322,7.394123273261981e-05,-0.0011705613360253487,0.0001152745259550593
3,0.3545877978898352,0.8937089454084635,-0.0003669517144270783,0.040278660475244255,0.0008363121795026855,0.7007630902782255,-0.007785385777242471,-0.0016030856926226855,0.0018471779376267872,-0.0018244955688715425,-0.004711149360998856,0.7975463455607785,-0.0011038146656856345,0.6768611010747787,-0.01482534089649562,3.219173697288635e-05,-0.004099712103605491,0.0005483540445566648,0.001683443575898026,0.34468412417835687,0.00033381777827504324,0.19869864001134657,-0.0033127415610942346,-0.008650928962160798,-0.00043514626224838704,-0.0017786358743907549,0.3545877978898352,0.8937089454084635,0.00017573444580193387,-8.195194602034217e-05,0.000499054426909451,0.00031862868368637276,-5.3229449549663244e-05,-1.518676181655465e-05,-0.0010348684207714457,0.0009357768922414162,-0.01328627039349655,-0.0012350941224842991,0.0004956020676620456,-9.169869725639436e-05,0.0014074213209798586,0.0003565239951142547
4,0.3545877978898352,0.8937089454084635,-0.006443812123146477,0.9125313505763641,0.0006184412183468366,0.5844298612266318,-0.02136486791598141,0.007634207041119223,0.002393998220562743,-0.0011979444921015325,0.004223772498417496,0.9481410361319212,-0.0015697698227146349,0.9809181191376356,0.007819953731377616,-0.010213996533420866,-0.0019248499423263343,0.004040050700306996,-0.0010923690660597887,0.5769708079191621,0.0004070519264678307,0.5601914028231126,-0.005236683036588696,-0.0013427685321463767,0.0011289768268664124,-0.0005372643371422958,0.3545877978898352,0.8937089454084635,0.001064622732810716,-0.0001069661676882383,-0.0005483429454034017,0.0003170819878578479,0.0001535624209402786,4.9751430749811476e-05,-0.018172684343606395,0.000691993989233466,0.011911781859255505,-0.00175646649927755,0.003002423487627957,-0.00011968792327501003,-0.0015464236182593152,0.0003547933468573796
5,0.3545877978898352,0.8937089454084635,-0.0031830913037686637,0.6291954525850442,0.00019653225441772446,0.14443413577669736,-0.0163706798444036,0.002228551870211981,0.0014185399413109145,0.0008670092672111718,0.0035772789750971165,0.9466286656667274,-0.0017150794693775431,0.9562311386336844,0.006754516378859987,-0.010418182163266454,-0.004021241515874796,0.003004033759236302,-0.001972269669388907,0.9368473102710344,0.00048697404397857777,0.45050237554613304,-0.004674056936831539,0.0020288932712477226,-0.00013197550674304281,-0.001947765479485164,0.3545877978898352,0.8937089454084635,-0.0029816776613006413,6.373907625678576e-05,0.0001389102358371197,0.00038976076245322844,0.0004121086548547481,-1.9854903221538933e-06,-0.008976877723123456,0.00021990633016199783,0.010088556336077081,-0.0019190581880028938,-0.008408855801143506,7.131972504499691e-05,0.00039175131424087217,0.0004361159910680887
6,0.3545877978898352,0.8937089454084635,0.0016456872919214946,0.09717340260084646,-0.00013905433447740294,0.034504858989972215,0.008620673948316837,0.010151665777084429,-0.0026650094985962713,-0.0019991757422685996,0.002081288475657635,0.7383918192232246,-0.0005965378585091793,0.3696969610566356,0.007363328989013096,-0.0011809203441953131,-0.0034129703044889492,-0.0008264239281414731,0.0018229021811592225,0.3516784004382945,-0.0012291987446839154,0.6898758016170619,0.010170212299562942,0.003012201961828498,-0.004236487785975074,0.0003717287530502489,0.3545877978898352,0.8937089454084635,-0.00038333294738546186,-1.8744572996998166e-05,0.0005731146887410499,3.727747499959744e-05,-8.174408110789289e-05,1.3109793265408953e-06,0.004641127815776626,-0.000155592416515255,0.005869599822789893,-0.0006674856076734644,-0.0010810663809265014,-2.097391224883744e-05,0.0016162842944728389,4.1710978939077335e-05
7,0.3545877978898352,0.8937089454084635,-0.004190927292618561,0.7100788364144421,0.0012412426082188876,0.30967811717081856,-0.0034638345893472366,0.016097734603681635,-0.0020284612476824115,-0.00457890133559713,0.006936444951100843,0.8733580215538195,-0.001722482993414526,0.41127319513412985,0.017455754969269044,-0.01021693892194886,-0.005459638342261375,-0.00180106808245184,0.00122214372935964,0.1689973173344477,-0.0013725985153551024,0.739623067723376,0.010443192207021557,0.0033365670042501128,-0.0041885421474774365,0.0015490382115046497,0.3545877978898352,0.8937089454084635,-0.0011021175485802504,-3.008578717722532e-05,0.0027582711906871116,-1.3716325163892762e-05,-0.00010397509788162562,0.00023906186719735434,-0.011819152597914877,0.0013888667161674054,0.019561995625286255,-0.0019273422317903253,-0.0031081654674497876,-3.366396558051103e-05,0.007778810232900521,-1.5347642243441806e-05
8,0.3545877978898352,0.8937089454084635,-0.007488912401839341,0.9966740634352738,-0.00044861336941257485,0.09973294317751678,-0.012539216933073472,0.016393389500444777,-0.005713746502995609,-0.0027485249191523398,0.015400634679203981,0.9607685910927245,-0.0011620994348797748,0.1707770778733295,0.03472247558820529,-0.024515220411412852,-0.008876603275537409,-0.005867240324616607,-0.0023427030287733242,0.9249462361931375,-0.00048761020112804686,0.2539867279029836,-0.002498740198595084,0.005647100245114334,-0.0030718119790158482,-0.0009849980622530508,0.3545877978898352,0.8937089454084635,-0.0012992295931326114,-0.00018202525377286616,-0.0023550841637188236,-0.0005006317496297763,0.0001862098831528769,-1.2158105771042926e-06,-0.02112005107453254,-0.0005019680867214988,0.04343250041556341,-0.0013003108459976815,-0.003664056126196033,-0.00020367397541228905,-0.006641751853092561,-0.0005601731438426702
9,0.3545877978898352,0.8937089454084635,0.0046571451058946235,0.745691395352288,-0.0008580664749208623,0.9087114728624225,0.011460446010460146,-0.004500579902087298,-0.0026226218342780827,0.001321804866194931,0.013787103334427486,0.991956553380512,-0.0014204496317788038,0.35708370811448276,0.026204301453544798,-0.02685288470442171,-0.006631593316793305,-0.00253542107343685,-0.000674496068753989,0.36034947328437517,0.00018766561926105338,0.0776419718991681,-0.004609005089150742,-0.003219683061276235,-0.0006792245954276854,-0.0017652252614498432,0.3545877978898352,0.8937089454084635,0.0006707378197461367,-0.0003150775581598486,0.007367535547236903,-0.00038892842829241214,0.00026816606657426023,-1.2935936451019536e-05,0.013133968888973231,-0.000960118480775292,0.03888205803040893,-0.0015893872821532487,0.001891598706266041,-0.0003525505252896899,0.020777746981372098,-0.00043518466531030985
