layer,example_id,baseline_mc_entropy,baseline_conf_signal,scoring_mode_mc,scoring_mode_conf,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal,fit_r2_mc,fit_r2_conf
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,-3.0,0.014120358042418957,0.9422864988446235,0.007570172660052776,-0.0056611165404319985,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,-2.0,0.005265740677714348,0.947564835846424,-0.0012844447046518326,-0.000382779538631417,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,-1.0,0.005976989399641752,0.947638250887394,-0.0005731959827244282,-0.00030936449766150176,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,-0.5,0.006342066451907158,0.9479206636548041,-0.00020811893045902252,-2.6951730251356665e-05,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,0.5,0.006695284508168697,0.9482163280248641,0.00014509912580251694,0.0002687126398086548,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,1.0,0.006751393899321556,0.9483153417706489,0.00020120851695537567,0.0003677263855934587,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,2.0,0.006025184877216816,0.9483916833996772,-0.0005250005051493645,0.0004440680146217124,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,entropy,3.0,0.005471269134432077,0.9441861748695373,-0.001078916247934103,-0.0037614405155181885,0.011182025734640142,0.42304066781345184
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,-3.0,0.003437081119045615,0.9477873295545578,-0.0031131042633205652,-0.00016028583049765288,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,-2.0,0.0053074657917022705,0.9478529810905456,-0.00124271959066391,-9.463429450984329e-05,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,-1.0,0.006039982661604881,0.9475764483213425,-0.0005102027207612991,-0.0003711670637129849,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,-0.5,0.006319108884781599,0.9479312762618065,-0.00023107649758458138,-1.6339123248942933e-05,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,0.5,0.0063233827240765095,0.9481350377202034,-0.00022680265828967094,0.00018742233514790207,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,1.0,0.00541983125731349,0.948624886572361,-0.0011303541250526905,0.0006772711873055393,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,2.0,0.004306760150939226,0.9484881177544593,-0.0022434252314269543,0.0005405023694038391,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,confidence,3.0,0.024194424971938133,0.9194706350564956,0.017644239589571953,-0.02847698032855983,0.3662100274128417,0.184273302265033
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,random,-3.0,0.020347066534062225,0.9432310432195662,0.013796881151696045,-0.004716572165489263,0.623085891914091,0.12257509543154299
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,steering,random,-2.0,0.01002654650559028,0.9475224787990252,0.0034763611232241,-0.0004251365860302725,0.623085891914091,0.12257509543154299
