,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm
mc_L12_c,1.0,-0.9611250606117375,-0.09960268530655815,0.8311337707743138,-0.8660792753969513,0.15268512968823872,0.7774723900573225,-0.8351908648655668,-0.10229619298692147,0.7627948612428016,-0.8156052598693512,0.2998469957082436,0.7365797186965882,-0.774628811637361,0.4702157314220263,0.7279621708242483,-0.7641705784920418,0.4791904474785823,0.7143097141903798,-0.760561954314238,-0.2411374033475416,0.7129028687245332,-0.7648862801839458,-0.15447716175042603,0.7482738049727248,-0.7554204880832758,-0.6973028813901218
mc_L12_e,-0.9611250606117375,1.0,0.017107397938351074,-0.8210105196088596,0.8718126698331764,-0.20165768835175626,-0.7701634982793042,0.8394208645051958,0.030453836628131822,-0.7566717165466035,0.8193117284689827,-0.38359131022786874,-0.7408376223290107,0.775982123208583,-0.49151753741098414,-0.7323785769596824,0.7682377634020584,-0.4928731943252434,-0.7189182408278302,0.7668059094171081,0.21280858072684922,-0.7172779877012575,0.7739602243582278,0.15612221544522153,-0.7519972432187934,0.7660890110642538,0.7003972131235515
mc_L12_rnorm,-0.09960268530655815,0.017107397938351074,1.0,-0.04755740225555669,0.03209784918560907,0.13835783560108741,-0.064993601021627,0.04139833624955141,0.13448711558383136,-0.04603048807129565,0.03331941658900206,0.22548835002115675,-0.0631737215131616,0.03618645196091842,0.05592696122125704,-0.05671760585975787,0.033684845651665594,0.10011829923613848,-0.05230179053437839,0.033145581564165465,0.146178871800568,-0.05264559409026711,0.033256587095783725,0.14047399947309247,-0.06895824972783231,0.0503502332923895,0.06015576549452049
mc_L14_c,0.8311337707743138,-0.8210105196088596,-0.04755740225555669,1.0,-0.9383533411965461,0.20422649324013004,0.9586891692230275,-0.9282551625578864,-0.12318103515831207,0.9337823644460789,-0.923044232657424,0.39388053798177114,0.9266318348462506,-0.9112320526531047,0.6109220679711737,0.9273168977450087,-0.8976395107836459,0.6304057971762359,0.9118176776358822,-0.8928231239461487,-0.23056054174989155,0.9097138584301754,-0.8997213567605101,-0.041571056879002734,0.8783016465294664,-0.8687374722627726,-0.7806080391496786
mc_L14_e,-0.8660792753969513,0.8718126698331764,0.03209784918560907,-0.9383533411965461,1.0,-0.09849988564544009,-0.9107473269210151,0.9879642788666123,0.21783027138134964,-0.9109549296043593,0.9772695297875409,-0.42581579473000214,-0.8647346770683375,0.9352604503722458,-0.5099857188727935,-0.8736416941452108,0.9329105587812487,-0.5349803292350048,-0.8546691321342851,0.9272384197138737,0.32409580736210414,-0.8503869533472442,0.9275501416085102,0.14224599903285545,-0.8729349623010091,0.897054277092124,0.8277936157199877
mc_L14_rnorm,0.15268512968823872,-0.20165768835175626,0.13835783560108741,0.20422649324013004,-0.09849988564544009,1.0,0.19276720280234222,-0.10775416948169776,0.5152642542051541,0.17755202950483137,-0.12323618571300621,0.2918557664854004,0.21863655984031216,-0.12708010347498241,0.22857553961336743,0.21112980372140244,-0.11772158674190701,0.2682320827060399,0.19567084592845468,-0.1157457975623063,0.18033417614016425,0.1918461083595626,-0.12236469646231662,0.18082862975880332,0.13266431285913682,-0.10945620121794833,-0.06894959137589207
mc_L15_c,0.7774723900573225,-0.7701634982793042,-0.064993601021627,0.9586891692230275,-0.9107473269210151,0.19276720280234222,1.0,-0.9358595509238111,-0.11627102575605637,0.9892274106931396,-0.9413025578304605,0.4380362918452826,0.9583612043705743,-0.9348918752297553,0.5954985906012676,0.9640964244834548,-0.9281673701078108,0.6205184683556747,0.9446524958887341,-0.9255980231034978,-0.24201095402060074,0.9424090565555974,-0.9326542602232198,-0.038920762311541506,0.9108490190604372,-0.9019997583000781,-0.8181419229191521
mc_L15_e,-0.8351908648655668,0.8394208645051958,0.04139833624955141,-0.9282551625578864,0.9879642788666123,-0.10775416948169776,-0.9358595509238111,1.0,0.2332244880600419,-0.9423138813258386,0.9958973687544708,-0.45321513077001213,-0.8892404176263113,0.9588054667312006,-0.5093784851998142,-0.9017790734564025,0.959233531446329,-0.5366171946784529,-0.8816781132842966,0.9539517636323487,0.33457387872149114,-0.8758322133640534,0.9523719710927928,0.12310863475015797,-0.890268539719976,0.9148166407665959,0.8440309631441736
mc_L15_rnorm,-0.10229619298692147,0.030453836628131822,0.13448711558383136,-0.12318103515831207,0.21783027138134964,0.5152642542051541,-0.11627102575605637,0.2332244880600419,1.0,-0.13918302699807314,0.21715505793756032,0.338361128854853,-0.04870916209454979,0.20382180066203565,0.18535567176041273,-0.08763810764626645,0.23136585157805561,0.15494967994487832,-0.08381871019780299,0.22673284705387797,0.41065511888988315,-0.07216698232748399,0.20354404186841124,0.1562926200241199,-0.11921623062959527,0.1793808560732427,0.23338517828442198
mc_L16_c,0.7627948612428016,-0.7566717165466035,-0.04603048807129565,0.9337823644460789,-0.9109549296043593,0.17755202950483137,0.9892274106931396,-0.9423138813258386,-0.13918302699807314,1.0,-0.9545846801185214,0.45960946270848435,0.9521430927101436,-0.9454930280168667,0.5799693362754609,0.9620540478761944,-0.9429254388426546,0.6211463564402505,0.9426844825000743,-0.9412910292475501,-0.25987855332330284,0.9398521438851414,-0.9463498981907033,-0.04975972690873396,0.9151245337499789,-0.9122878965762831,-0.8345327782191928
