example_id,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm,mc_entropy,conf_signal
0,-0.46446526,-0.2998,6.703,1.2902474,-1.962,8.29,1.0474993,-2.053,8.625,1.1570001,-3.076,9.664,0.7579553,-2.182,11.61,1.1355913,-2.52,13.24,-0.37541837,-0.807,20.05,1.4863691,-2.15,32.84,-9.659361,20.0,50.7,-0.62845397,0.4138,6.46,0.4833185,-0.354,8.01,2.0488334,-1.265,8.73,2.750166,-2.45,10.125,4.438255,-2.305,11.55,4.3881035,-2.729,12.99,3.9539316,-1.128,19.08,9.167376,-3.01,31.44,-1.3153847,14.22,55.03,0.0005259513854980469,0.949959698319435
1,-0.65557605,0.088,6.68,1.0531973,-0.99,8.24,0.87180775,-1.143,8.66,1.0839096,-2.27,9.89,0.51735497,-1.515,11.93,1.0151147,-1.871,13.664,-0.38242292,-0.163,20.1,1.7081914,-1.488,33.47,-10.383028,22.3,53.0,-0.8801139,0.5757,6.53,-0.10411836,-7.23e-05,7.85,1.1941876,-0.706,8.63,1.8527962,-1.951,10.01,3.2104187,-1.345,11.56,2.9925914,-1.739,12.89,2.1448374,0.4417,19.39,6.217228,-0.2944,32.5,-12.647396,25.1,61.66,0.0015077590942382812,0.9486297100782394
2,-0.6119478,0.06964,6.59,0.2733299,-0.6914,8.22,0.21195908,-0.6753,8.43,0.46093023,-1.718,9.48,-0.21853048,-1.242,11.53,0.20274767,-2.086,13.27,-1.288241,-0.565,19.27,0.47187585,-1.78,31.97,-12.062396,23.1,51.3,-0.87070775,0.64,6.516,-0.7100292,0.4329,7.883,0.18842411,-0.1813,8.53,0.7656565,-1.321,10.016,1.6172624,-0.5356,11.26,1.4027252,-0.8237,12.77,-0.40987426,1.771,19.36,1.8354939,1.529,31.92,-24.872986,29.56,64.8,0.0034351348876953125,0.9246986269950865
3,-0.5226571,0.05478,6.645,1.2031746,-1.026,8.44,1.2583907,-1.369,8.79,1.5877091,-2.64,9.875,0.7481835,-1.371,11.875,1.1645544,-1.694,13.72,-0.32698333,-0.02415,20.27,1.5982509,-1.126,33.25,-8.863075,20.17,49.62,-0.9391376,0.6113,6.55,-0.27699375,0.529,7.848,0.9582335,0.2583,8.86,1.451395,-0.8525,10.0,3.129579,-0.612,11.766,2.3398252,-0.5815,13.18,0.7163874,2.045,19.8,3.8747866,2.168,32.62,-19.424068,29.4,64.4,0.004016876220703125,0.932940386235714
4,-0.87213963,0.5,6.688,0.21562213,-0.05994,8.22,0.25740027,-0.1948,8.38,0.4382333,-1.26,9.695,-0.5478046,-0.6396,11.68,0.013152093,-1.202,13.53,-1.6561058,0.694,19.64,-0.22603655,0.3987,32.94,-12.926711,25.98,52.94,-1.1768893,0.7134,6.645,-0.6439552,0.553,8.055,-0.040166028,0.1417,8.36,0.30112255,-0.8213,9.805,1.0582805,0.0665,11.42,0.3745919,0.05615,12.81,-2.2850251,3.117,19.53,-1.3521068,3.867,31.9,-34.941414,38.1,72.06,0.01678466796875,0.8262251511216163
5,-0.9056634,0.5444,6.67,0.22832677,0.529,8.555,0.314995,0.3484,8.58,0.31538934,-0.5527,9.766,-0.37859452,0.1832,11.734,-0.12422174,0.2947,13.516,-1.6816918,2.951,20.66,-0.010469198,4.113,34.9,-18.734747,39.9,62.66,-1.100716,0.761,6.594,-0.6392827,0.923,7.902,-0.1553159,0.4253,8.39,0.0689804,-0.5005,9.71,0.4279076,0.6235,11.22,-0.37682095,0.726,12.78,-3.0869048,3.896,19.95,-2.4497757,5.363,32.2,-36.209095,42.22,72.6,0.0928955078125,0.8175185486674308
6,-0.9605146,0.6978,6.72,-0.40856078,1.188,8.48,-0.5924464,1.493,8.79,-0.59054756,0.844,9.555,-1.9046439,2.588,11.45,-1.900691,2.777,13.23,-4.1944857,6.082,20.42,-3.6890957,8.82,33.66,-26.88338,50.97,69.56,-1.0698645,0.7676,6.63,-1.2828536,0.925,7.996,-1.098045,0.756,8.53,-0.93268937,-0.1759,9.86,-1.0264972,0.8545,11.22,-1.7471578,0.735,12.83,-4.9504704,3.578,19.61,-5.3624077,4.3,31.73,-40.432724,36.56,71.25,1.119140625,0.6550923049449919
7,-0.89453197,0.6104,6.65,-0.39126483,0.867,8.2,-0.867345,1.25,8.52,-1.027941,0.62,9.62,-2.0131485,1.827,11.41,-1.8891641,1.805,13.11,-3.994852,5.04,20.08,-3.5569499,7.766,33.9,-24.198437,47.8,68.1,-1.1557505,0.747,6.586,-1.3129694,0.8916,8.01,-0.920966,0.675,8.43,-0.64434016,-0.2944,9.77,-0.781876,0.9214,11.29,-1.4724956,0.882,12.84,-4.8194146,4.062,20.11,-5.1656246,5.13,32.3,-41.73969,40.75,74.4,0.62451171875,0.6777568191289902
8,-0.61577815,0.0969,6.664,0.555001,-0.1763,8.195,0.20382608,0.05005,8.62,0.19106756,-0.7617,9.47,0.074297786,-0.3137,12.12,0.3482412,-0.8057,13.664,-1.3265278,1.818,19.62,0.4470343,1.802,32.47,-11.268326,26.45,54.44,-0.9583266,0.608,6.582,-0.22042441,0.4282,7.92,0.78973633,-0.1694,8.83,1.4153732,-1.343,10.016,2.314533,-0.5747,11.195,1.9443796,-0.6973,12.96,0.83091223,1.796,19.89,4.377924,1.296,32.53,-18.954878,30.2,66.2,0.00823974609375,0.9334032520651817
9,-0.41944742,-0.3606,6.676,1.072296,-2.006,8.35,0.9295641,-2.084,8.67,1.2212666,-3.197,9.81,0.2729224,-2.496,11.66,0.67770386,-3.016,13.53,-0.87889886,-1.606,19.88,0.93307674,-3.121,32.8,-9.696622,18.38,48.34,-0.7974071,0.4475,6.547,0.6495153,-0.4531,7.824,1.7672733,-1.253,8.67,2.7069535,-2.516,10.195,4.3374023,-2.104,11.72,4.2586594,-2.424,13.08,3.9304748,-0.9316,19.2,8.615813,-2.39,31.77,-3.9865432,16.98,56.53,0.0003151893615722656,0.9496238991618156
10,-0.8028437,0.335,6.598,0.18533494,0.5967,8.44,0.1341294,0.709,8.88,0.20945406,-0.2527,9.72,-0.066657305,0.226,11.87,0.23860738,-0.1261,13.54,-1.4607487,2.646,19.98,0.48493052,2.783,32.97,-13.490242,30.4,55.3,-0.9685899,0.6597,6.52,-0.80513406,0.6987,7.79,0.6492995,0.01868,8.86,1.1674507,-1.254,10.086,1.7154868,-0.3962,11.18,1.381839,-0.5366,12.766,-0.47983986,2.03,19.55,1.6268615,2.135,32.4,-24.777414,32.8,67.9,0.06689453125,0.9071581244468688
11,-0.7927589,0.1631,6.65,0.7887813,-0.7964,8.45,0.7208631,-1.007,8.664,0.9354664,-2.188,9.78,0.79921544,-1.47,12.01,1.2282399,-1.934,13.7,-0.30594116,-0.2289,20.27,1.2401522,-1.034,33.72,-13.056368,25.06,53.9,-1.0126778,0.567,6.605,-0.38346326,0.4048,8.086,1.5210686,-0.4683,8.95,2.1688142,-1.726,10.16,3.645162,-1.39,11.75,3.307325,-1.67,13.17,2.2577019,0.5796,19.31,6.1317987,-0.281,31.95,-11.0643635,22.06,59.06,0.0031280517578125,0.9487299457192421
12,-0.7547192,0.2223,6.58,1.0555669,-1.046,8.46,0.92273295,-1.176,8.55,1.1229472,-2.445,9.734,0.5477166,-1.886,11.92,1.1874638,-2.57,13.664,-0.44638073,-0.9473,19.72,1.2229388,-1.922,32.75,-11.698562,22.8,51.03,-0.88577104,0.532,6.54,0.18365386,-0.0794,8.05,1.1475165,-0.6743,8.52,1.7280868,-1.874,9.77,3.0129795,-1.28,11.55,2.6799884,-1.583,12.99,1.487635,0.7803,19.47,4.9955225,0.4246,32.44,-15.695937,27.14,61.03,0.0007619857788085938,0.9472387701272964
13,-0.53991956,-0.0899,6.617,1.1753626,-0.8203,8.57,1.4396403,-1.154,8.664,1.5463605,-2.297,9.79,1.2485702,-2.283,12.02,1.7203832,-2.678,13.62,0.667994,-1.659,20.27,3.028184,-3.004,34.03,-9.37047,21.19,52.75,-0.8763841,0.4993,6.566,0.18372846,0.1558,7.848,2.1833777,-0.972,8.78,2.925341,-2.246,10.27,4.6346974,-2.096,11.93,4.3568544,-2.477,13.31,3.8294916,-0.7524,19.14,9.009731,-2.04,31.83,-2.9150786,18.02,56.47,0.0006265640258789062,0.9499110773205757
14,-0.48117477,-0.2534,6.71,0.90146935,-1.666,8.24,0.7318842,-1.869,8.516,1.0260906,-3.094,9.87,0.15955251,-2.486,11.63,0.619781,-3.172,13.414,-0.88727033,-1.828,19.48,1.0624609,-3.488,32.6,-9.16795,17.6,49.84,-0.65451366,0.4102,6.465,0.33093035,-0.2734,7.88,1.5372634,-1.125,8.55,2.3652177,-2.412,10.1,3.7813587,-1.986,11.664,3.7252178,-2.443,13.055,3.079551,-0.8115,19.31,7.389145,-2.172,31.75,-6.8293276,18.11,56.88,0.0004582405090332031,0.9496700450778006
15,-0.5745387,0.0504,6.617,0.8780026,-1.769,8.34,0.8822981,-1.949,8.53,1.2229759,-3.139,9.58,0.18730715,-2.31,11.445,0.64098144,-2.734,13.23,-0.87724215,-1.355,19.34,0.95234555,-2.71,32.4,-9.689296,18.55,49.2,-0.9092903,0.541,6.562,-0.17336327,0.2134,8.01,1.5100203,-0.677,8.79,2.38241,-2.008,10.09,3.9144876,-1.7295,11.68,3.6759043,-2.006,13.13,2.8786952,0.00672,19.16,6.982675,-1.154,32.03,-9.672414,21.4,59.44,0.0005431175231933594,0.9483130455017089
16,-0.88024974,0.4956,6.652,-0.31415433,1.283,8.38,-0.6634765,1.816,8.77,-0.7034678,1.284,9.38,-1.3333918,2.314,11.39,-1.3887074,2.5,12.9,-3.3502645,5.668,19.56,-2.3895855,7.68,32.4,-20.44029,42.94,61.84,-1.0669079,0.703,6.586,-1.095619,1.021,8.03,-0.001808688,0.5986,8.84,0.68875384,-0.595,10.03,1.8710788,0.02498,11.64,1.0377268,0.02242,13.04,-1.4544134,3.082,19.72,0.065757096,3.605,32.06,-30.845734,36.53,70.06,0.927734375,0.8765505984425545
17,-0.2586463,-0.7295,6.625,1.3347362,-1.737,8.48,1.1111133,-1.894,8.586,1.2231007,-3.045,9.74,0.69900393,-2.459,11.87,1.2916443,-3.086,13.445,-0.41540897,-1.414,19.5,1.5314395,-2.559,32.34,-9.713214,19.62,50.1,-0.68838173,0.2668,6.57,1.1439476,-0.7134,7.887,2.1226285,-1.377,8.516,2.87178,-2.613,9.97,4.5014834,-2.232,11.766,4.3254204,-2.613,13.266,3.9440918,-0.9985,19.56,8.897931,-2.58,32.22,-4.2305017,18.11,56.88,0.0004229545593261719,0.9500813946127891
18,-0.57476735,0.0329,6.668,0.7477788,-0.696,8.45,0.7425009,-0.7456,8.625,0.9065622,-1.792,9.625,0.008466452,-1.191,11.81,0.3234165,-1.34,13.516,-1.4167383,0.8735,20.1,-0.011172652,1.4375,33.9,-15.635111,33.03,60.1,-0.8544076,0.5464,6.523,-0.23062381,0.2932,7.945,0.6350584,-0.11395,8.5,1.0891981,-1.183,9.875,2.1364875,-0.3523,11.49,1.531089,-0.3853,12.89,-0.17038804,2.562,19.73,2.2284207,3.451,32.72,-23.772724,33.47,66.75,0.294921875,0.9258051082491874
19,-0.5025476,-0.11566,6.594,1.27704,-1.576,8.59,1.1109179,-1.626,8.71,1.3297572,-2.799,9.87,0.64065784,-1.737,11.836,1.182338,-2.092,13.62,-0.3473733,-0.4717,20.33,1.6413565,-1.8125,33.44,-9.432341,19.94,51.06,-0.817946,0.4946,6.547,0.5060171,-0.1136,7.99,2.2129006,-0.957,8.836,2.9569237,-2.312,10.234,4.465505,-2.033,11.73,4.215525,-2.32,13.19,3.6479506,-0.6235,19.34,8.775536,-2.223,32.22,-4.21823,17.61,57.12,0.0011959075927734375,0.9495761930942535
20,-0.56089425,0.0914,6.535,0.29895145,0.3376,8.38,-0.106988415,0.713,8.695,-0.37170848,0.0505,9.734,-0.87173957,1.423,11.81,-0.7721026,1.566,13.39,-2.6219926,4.684,20.7,-1.3345997,6.047,34.16,-20.05762,40.84,62.84,-0.7683219,0.5835,6.55,0.10448396,0.2106,7.855,0.62208164,-0.2817,8.414,1.057848,-1.394,9.83,2.1765947,-0.6924,11.38,1.6522579,-0.7476,12.92,-0.27488935,1.937,19.52,2.3286357,1.802,31.86,-22.269922,30.17,63.7,0.75244140625,0.9252664521336555
21,-0.7362887,0.2842,6.723,0.32536626,0.04135,8.36,-0.035341207,0.3003,8.74,-0.23163493,-0.4045,9.71,-0.9576596,1.041,11.72,-0.8296877,1.344,13.516,-2.5708175,4.457,20.62,-1.4965212,6.26,34.25,-19.036137,40.9,63.34,-0.94035935,0.6694,6.566,-0.55141824,0.5986,7.906,0.55027485,-0.0619,8.57,1.0566809,-1.241,10.08,1.9222572,-0.5522,11.59,1.424328,-0.6567,12.93,-0.5501857,2.014,19.38,1.7718668,2.11,31.98,-24.03921,31.0,65.44,0.7861328125,0.8975162059068679
22,-0.41184998,-0.2115,6.617,1.0727836,-1.8,8.31,0.85947996,-1.901,8.445,1.1489483,-3.113,9.734,0.24567302,-2.428,11.64,0.7060501,-3.045,13.41,-0.77435815,-1.716,19.67,0.91577506,-2.932,32.72,-9.991159,18.53,48.4,-0.8907349,0.47,6.527,0.39622435,-0.2006,7.926,1.8425219,-1.062,8.664,2.5774732,-2.357,10.12,4.1930695,-1.8955,11.67,3.8917785,-2.1,13.03,3.289515,-0.2228,19.28,7.9078107,-1.326,32.2,-7.079008,20.17,58.22,0.0001842975616455078,0.9497965946793555
23,-0.500739,-0.03763,6.633,0.7537451,-1.321,8.19,0.8159956,-1.562,8.36,1.0797468,-2.822,9.79,0.18557313,-2.234,11.6,0.6844083,-2.977,13.21,-0.9199262,-1.535,19.03,0.83334327,-2.926,32.22,-9.926759,19.11,48.94,-0.953372,0.5645,6.57,-0.051739942,0.12054,7.953,1.4361129,-0.683,8.664,2.4031096,-2.06,10.195,4.1753464,-1.846,11.85,3.8216882,-2.15,13.07,2.7991047,-0.0629,19.1,7.1719313,-1.094,31.77,-8.96443,21.16,58.03,0.0008478164672851562,0.9485695213079451
